slotId,deposit,burnRate,Adj_deposit,Adj_burnRate,owner,transactionHash,timestamp,gasUsed,gasPrice,ethSpent
11,1.50E+19,2.67E+12,15,0.27,0xAe22A659B0b58F4C61a6Aaf7fC0fe7b1f7Fa59fC,"b'\x7f\xeaf\x92%\x14\x06\xdd\x7f\xb9\x86\xae\xb5&\x90\n\xfc\x19\xe2\xa0\x98@\x87""\x92XgF\x8a\xd9#4'",1621342149,225026,62000000000,0.013951612
14,1.00E+19,2.00E+13,10,2,0xAe22A659B0b58F4C61a6Aaf7fC0fe7b1f7Fa59fC,b'{z\xa6\xc8\x0ca\xce\xec\xf4?L\x9eL\xf7\xfd\x81\x81=\xd5\xcdS(\xa9+\xbb\xee\x92\xd6\xcb\xcch\x16',1621343367,174332,71000000000,0.012377572
13,2.50E+20,6.75E+11,250,0.07,0x151D712669AdEBAA73624e6F735c157b6a0F5a5b,b'\xd0\xf2C\xa3\x94\xd8T\xf1\xa2\x829c\x12\xb1\\$\xde\x16v3\xce\xb9}9\xec\xd77\x89\xa5~a\xf8',1621355338,225026,90500000000,0.020364853
29,8.20E+19,1.10E+12,81.97,0.11,0x132DB8234171Cc9D8A65853cf03D5C0f46C8867e,b'\xd3\xbd\xf0\xd3\x1a\xa3a\xbc\x01\xf3\x96\x14r]d\xdb\xd1\x18Vp?\xc7;\xae0\xaa\x7f|\xaa\xd0R\xdc',1621371899,242126,1.19E+11,0.028812994
32,0,0,0,0,0x0000000000000000000000000000000000000000,b'\x87\xf4\x9c\x1c(&!\x1d\x94\xb7\x85J\x12[:\xec\xfd\xa3\x1f7_o5\xbe\xdb\x8e\x08\x01\x0f\x12Bo',1621412640,110339,1.01E+11,0.011144239
35,0,0,0,0,0x0000000000000000000000000000000000000000,"b""\xb0'\x04\xac\xcd\x07iq.\xa9\x84f\x16\x10\x10\xf9\xda\x11\xb6{/p\t7y\x08\x86\xf5'\xca\x05\n""",1621412770,110339,1.30E+11,0.01434407
36,0,0,0,0,0x0000000000000000000000000000000000000000,b'\xcf\xcd1\x94\xc6\x88h!(\xa1Q -\xf0\x0f;\x1b\xa0L\x005T\xf1KEym:[y\xa6W',1621412802,110339,1.40E+11,0.01544746
40,0,0,0,0,0x0000000000000000000000000000000000000000,b'\xc9#1\xac\x07\xa9\x8e\xc4\x117\xd4e\xaa~)\xc1\xe5\x97\x8a\xcf#\xba\x11\x04Wi\x0c]\x86\x88\x15\xef',1621412855,110339,1.40E+11,0.01544746
49,0,0,0,0,0x0000000000000000000000000000000000000000,"b'\x9bimz~\xbc\x95\xf5X\xca\xff\xce\xbfew\xbf\x9f\x18\xce1\xd9\xc5""\x18\x9bZ\x8cE={\xcf\xad'",1621413098,110339,1.40E+11,0.01544746
47,0,0,0,0,0x0000000000000000000000000000000000000000,b'\xc9%#=\xc4Ks\xf2\x89I\xb1\x0c\xf9\xd0\xc0\xad\xe0\xf7\xd7.\x9b\xb8\x91f\x89\xc5Yi\x92T\xb1F',1621413286,110339,1.20E+11,0.01324068
37,0,0,0,0,0x0000000000000000000000000000000000000000,"b'x\x07~\x01O\x99\xf2y=\xdb\xe3""\x84\x15\xa0\xf6\x8d\xd8\xc7\xb9\xe5E\x91\xeeh\xa3\xd5@\xd3\xfc\xfd\t'",1621413524,110339,1.30E+11,0.01434407
42,0,0,0,0,0x0000000000000000000000000000000000000000,b'8\xfe\x91v\x1c\x84\x9a\xb6\xf4\xfeX\x94\x18\xc0+\xc4uH\x1f\xbc\xee\x86\x9d\xef\xe5\x8a\x17\xe7\xa5\xf3\xe4\xec',1621413825,110339,1.30E+11,0.01434407
